Timestamp,Kelas ,Jenis Kelamin,Uang
03/12/2023 0:37:57,B,Perempuan,1500000
03/12/2023 0:38:26,D,Laki-Laki,1000000
03/12/2023 0:39:15,D,Laki-Laki,1500000
03/12/2023 0:39:44,A,Perempuan,2500000
03/12/2023 0:40:09,C,Laki-Laki,1200000
03/12/2023 0:40:30,B,Perempuan,1000000
03/12/2023 1:01:49,C,Perempuan,480000
03/12/2023 5:45:21,C,Perempuan,300000
03/12/2023 6:25:33,D,Perempuan,400000
03/12/2023 6:26:05,D,Perempuan,400000
03/12/2023 6:29:52,D,Laki-Laki,1500000
03/12/2023 6:56:51,D,Perempuan,400000
03/12/2023 7:00:48,D,Perempuan,350000
03/12/2023 7:07:33,D,Perempuan,1000000
03/12/2023 7:21:56,A,Perempuan,500000
03/12/2023 8:37:16,C,Laki-Laki,475000
03/12/2023 13:09:27,D,Laki-Laki,400000
04/12/2023 3:15:50,C,Laki-Laki,500000
04/12/2023 3:16:00,B,Perempuan,500000
04/12/2023 3:16:11,D,Laki-Laki,500000
04/12/2023 3:16:25,C,Laki-Laki,1500000
04/12/2023 3:16:40,D,Laki-Laki,2000000
04/12/2023 3:16:54,D,Perempuan,1000000
04/12/2023 3:17:04,D,Laki-Laki,500000
04/12/2023 3:17:14,B,Laki-Laki,1500000
04/12/2023 3:17:30,D,Laki-Laki,2000000
04/12/2023 3:17:40,B,Laki-Laki,1000000
04/12/2023 3:17:53,C,Perempuan,1500000
04/12/2023 3:18:06,D,Laki-Laki,1400000
04/12/2023 3:18:16,D,Perempuan,2000000
04/12/2023 3:18:24,D,Laki-Laki,500000
04/12/2023 3:18:34,D,Laki-Laki,500000
04/12/2023 3:20:15,D,Laki-Laki,2000000
04/12/2023 3:20:22,D,Perempuan,400000
04/12/2023 3:20:29,D,Perempuan,400000
04/12/2023 3:20:36,C,Perempuan,400000
04/12/2023 3:20:45,B,Laki-Laki,350000
04/12/2023 3:20:53,B,Perempuan,350000
04/12/2023 3:21:00,A,Laki-Laki,300000
04/12/2023 3:21:07,A,Perempuan,300000
04/12/2023 3:21:14,C,Perempuan,400000
04/12/2023 3:21:21,D,Laki-Laki,300000
04/12/2023 3:21:32,A,Perempuan,400000
04/12/2023 3:21:39,D,Perempuan,700000
04/12/2023 3:21:48,D,Perempuan,750000
04/12/2023 3:21:57,C,Perempuan,750000
04/12/2023 3:22:18,C,Perempuan,300000
04/12/2023 3:22:31,B,Laki-Laki,300000
04/12/2023 3:22:48,A,Laki-Laki,500000